id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1289184_Control	0	0	0.00604147672766216	0.313206006400865	0	0	0	0.00202556812022481	0.0851222743104417	0	0.0559949814017058	0	0.0884424714731808	0.0111576551328051	0.127765588021457	0.0107912732531489	0.00576084244053782	0.00880640491113202	0	0.284885457806839	0	0
GSM1289185_Control	0.10241441139994	0	0.116588952529811	0.0407639975143775	0	0.162282869287036	0.0189309250779174	0.00164744389215385	0.0989313088599975	0	0.0497298584703449	0	0.0335207632316701	0.099513283281299	0.0721362318224069	0.0101899080130164	0.00235709547095726	0	0	0.190992951149072	0	0
GSM1289186_Control	0.104465083035483	0	0.0790901581541619	0.121806044725361	0	0.351386944207635	0.00111544698031721	0.0045216250551477	0	0	0.00554694267460706	0	0	0.112615649936129	0	0.0703751299000579	0	0.0443932884748104	0.00147082714838776	0.103212859707903	0	0
GSM1289187_Control	0.00875940001415956	0.0357954938968947	0.0376345033116906	0.14447943878996	0	0.187220296535922	0.00778167461465329	0	0.0472612584360035	0	0.0359867887124091	0	0	0.100738812129235	0.123250456189891	0.0343977298907285	0	0.0242930434910116	0	0.212401103987441	0	0
GSM1289189_Control	0	0.0133386583322537	0.148982130733249	0.133298261760251	0	0.344039957365042	0	0	0.0417774470254532	0	0.0194142408687357	0.00571893793739742	0.0231563309155076	0.0247491172063848	0.0323786938990581	0.0492914152232783	0	0.00861117590353473	0	0.155243632829855	0	0
GSM1289190_Control	0.0271476358341491	0.0328307123284429	0.126959306318561	0.0558064946729461	0	0.313103566165026	0	0	0	0.00737432960830276	0	0	0	0.0616143250886742	0	0.0766995495813975	0	0.0583953676005685	0	0.220888336321435	0	0.0191803764804972
GSM1289191_Control	0.15911821501264	0.0522279675867471	0.0812218594176472	0.157618348178303	0	0.212345907944697	0	0	0.0690820701937985	0	0.0330064579002411	0	0.00317016949962509	0.0344222319271549	0.0301812454509741	0.060387634868828	0	0	0	0.107217892019344	0	0
GSM1289194_Control	0.13571792039835	0	0.116299774629364	0.203707585210577	0	0.0893441934764279	0	0	0.0994458013549271	0	0.0016495938304603	0.0262120952799204	0.0417194527329549	0.0605140857554822	0.0157823890228727	0.0491067993923264	0	0.0260657812884603	0	0.134434527627876	0	0
GSM1426178_Control	0	0.0459943267242774	0.0889064492256758	0.177050551434547	0	0.10229798243331	0.0036842787494144	0	0.101713653364918	0	0	0.0687479798422125	0.0544251890313733	0	0.0682270475720336	0.0370208909574423	0	0	0	0.251931650664796	0	0
GSM1426179_Control	0.103690446486212	0.0833472242705419	0.0985486431183008	0.27912317781689	0	0.0268049164275511	0	0	0.113204951564236	0	0	0.030807931593163	0.0281276766704468	0.107513601464976	0	0.036828925665976	0	0.00525669380214343	0.0667652091810349	0.0199806019385278	0	0
